CLAVE,MUN,jurisdiction,jurisdiction_key,municipality,nombre_shape
101,TZITZIO,MORELIA,1,Tzitzio,Tzitzio
102,URUAPAN,URUAPAN,5,Uruapan,Uruapan
103,VENUSTIANO CARRANZA,ZAMORA,2,Venustiano Carranza,Venustiano Carranza
104,VILLAMAR,ZAMORA,2,Villamar,Villamar
105,VISTA HERMOSA,ZAMORA,2,Vista Hermosa,Vista Hermosa
106,YURÉCUARO,LA PIEDAD,6,Yurécuaro,Yurécuaro
107,ZACAPU,PÁTZCUARO,4,Zacapu,Zacapu
108,ZAMORA,ZAMORA,2,Zamora,Zamora
109,ZINÁPARO,LA PIEDAD,6,Zináparo,Zináparo
110,ZINAPÉCUARO,MORELIA,1,Zinapécuaro,Zinapécuaro
111,ZIRACUARETIRO,URUAPAN,5,Ziracuaretiro,Ziracuaretiro
112,ZITÁCUARO,ZITÁCUARO,3,Zitácuaro,Zitácuaro
113,JOSÉ SIXTO VERDUZCO,LA PIEDAD,6,José Sixto Verduzco,José Sixto Verduzco
